gestao_ter,uf,munic,cd_geocmu,num_setor,data_setor,local,tipolo_g1,tipolo_e1,cobrade_01,tipolo_g2,tipolo_e2,cobrade_02,tipolo_g3,tipolo_e3,cobrade_03,tipolo_g4,tipolo_e4,cobrade_04,tipolo_g5,tipolo_e5,cobrade_05,descricao,obs_ocup,grau_vulne,grau_risco,num_edif,num_domi,num_pess,sug_interv,orgao_exec,st_area_sh,st_length_
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_038_CPRM,2022-07-11,"Rua dos Pescadores, Ilha das Flores (Norte), Bairro Arquipélago",Inundação,,1.2.1.0.0,Alagamento,,1.2.3.0.0,,,,,,,,,,"Ocupação urbana em ilha fluvial no Delta do Jacuí, às margens do Rio Jacuí e ao lado da rodovia BR-116/290  (Figuras 1 e 2), atingida por eventos de inundação lenta e gradual, de forma recorrente. Em 2015 foi registrada lâmina de água de 1,50 a","Residênciais de pequeno porte, ocupação desordenada, irregular e alta vulnerabilidade social.",Alto,Muito alto,97.0,66.0,388.0,"1) Continuidade nos estudos hidrológicos para avaliar padrão de recorrências de inundações;
2) Atualização constante do cadastro de áreas de risco e do Plano Municipal de Contingência;
3) Implantação de sistema de monitoramento e alerta na Bac",Serviço Geológico do Brasil,1.12393775143e-05,0.0378130116214
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_047_CPRM,2022-07-14,"Rua Saco do Cabral, Vila da Beira Rio, Bairro Farrapos",Inundação,,1.2.1.0.0,,,,,,,,,,,,,"Ocupação irregular às margens do Rio Jacuí (Figuras 1 e 2), adjacente à rodovia BR-116/290, atingida por recorrentes eventos de inundação lenta e gradual. Os eventos ocorrem pelo menos uma vez ao ano, tendo a inundação de 2015 sido o evento rece",Ocupação irregular com infraestrutura precária.,Alto,Muito alto,71.0,48.0,284.0,"1) Desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e embasar obras para melhorias de infraestrutura e mitigação de riscos;
2) Manter atualizado o cadastro de áreas de risco e o Plano Municipal de Conting",Serviço Geológico do Brasil,2.35836029633e-06,0.00917609220732
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_004_CPRM,2022-04-13,"Estrada João Antônio Silveira, Bairro Pitinga",Enxurrada,,1.2.2.0.0,Erosão,Erosão de margem fluvial,1.1.4.2.0,,,,,,,,,,"Ocupação urbana às margens do arroio do Retiro (Figuras 1 e 2), atingida por eventos de inundação brusca, com potencial de erosão das margens. Há o represamento das águas das áreas mais baixas pela estrada, retardando o escoamento das águas. A",Edificações de pequeno porte e infraestrutura urbana precária.,Alto,Alto,59.0,24.0,236.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,2.22470882077e-06,0.00768650681338
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_119_CPRM,2022-10-03,"Rua Santa Teresa e Beco Três, Bairro Vila São José",Deslizamento,Deslizamento não especificado,1.1.3.2.1,Erosão,Erosão laminar,1.1.4.3.1,,,,,,,,,,"Vetor de crescimento urbano em vertentes íngremes sem o devido aparato de infraestrutura necessário. As vertentes aqui vistoriadas apresentam sinais de instabilidade, colocando as casas neste setor a risco por possíveis eventos de deslizamentos (Figur",Casa de alvenaria e de madeira.,Alto,Alto,232.0,348.0,928.0,"1) Monitoramento das condições de estabilidade da encosta especialmente em períodos chuvosos e evacuação preventiva caso haja indícios de iminência de deslizamento;
2) Desenvolver estudos geotécnicos detalhados, por profissional habilitado, para",Serviço Geológico do Brasil,9.44136800706e-06,0.0129673414664
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_088_CPRM,2022-03-21,"Beco 10 e Rua Cinco, Bairro Morro Santana",Deslizamento,Deslizamento não especificado,1.1.3.2.1,Queda,Queda de blocos,1.1.3.1.1,Enxurrada,,1.2.2.0.0,,,,,,,"Ocupação residencial próximo a paredão rochoso fraturado sujeita a queda de blocos/lascas e deslizamentos (Figuras 1 a 3), o setor situa-se na lateral de uma das pedreiras desativadas no Morro Santana. Observou-se campo de blocos graníticos na encos",,Alto,Muito alto,11.0,7.0,44.0,"1) Estudo de remoção e demolição de moradias com maior vulnerabilidade aos processos descritos. Importante, que a ação contemple o uso futuro das áreas desocupadas com fiscalização constante para a não ocupação por novas residências.
2) Moni",Serviço Geológico do Brasil,1.78281941166e-07,0.00210558069456
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_023_CPRM,2022-05-16,"Rua Rodrigo Pavan, Bairro Aberta dos Morros",Deslizamento,Deslizamento planar,1.1.3.2.1,,,,,,,,,,,,,"Terço médio de encosta, com moderada declividade, com execução de taludes de corte e aterro para conformação de lotes residenciais sujeito a deslizamentos de solo (Figuras 1, 2 e 3). A construção de muros sem adequado sistema de drenagem e a expo","Ocupação  desordenada, com casas precárias, ausência de pavimentação e sistema de drenagem pluvial e de esgotamento sanitário.",Médio,Alto,12.0,8.0,48.0,"1) Monitoramento das condições de estabilidade da encosta/taludes, blocos e matacões, especialmente em períodos chuvosos e evacuação preventiva caso haja indícios de iminência de deslizamento e/ou queda de lascas/blocos;
2) Desenvolvimento de est",Serviço Geológico do Brasil,2.33433099452e-07,0.0023182742917
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_112_CPRM,2022-05-24,"Rua General Gomes Carneiro, Bairro Teresópolis",Deslizamento,Deslizamento planar,1.1.3.2.1,Queda,Queda de blocos,1.1.3.1.1,,,,,,,,,,"Ocupação residencial em encosta com corte elevado e íngreme em uma das faces sujeita a deslizamentos. Importante ressaltar, que já foi retirado moradias situadas na base do talude de corte (Figura 1). No corte elevado observou-se blocos rochosos de m",,Alto,Muito alto,8.0,1.0,32.0,"1) Monitoramento das condições de estabilidade da encosta/taludes, especialmente em períodos chuvosos e evacuação preventiva caso haja indícios de iminência de deslizamento e/ou queda de lascas/blocos;
2) Manter atualizado o Plano Municipal de Con",Serviço Geológico do Brasil,7.1137841849e-08,0.00146308242045
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_041_CPRM,2022-07-13,"Ilha do Pavão (Sul), Bairro Arquipélago",Inundação,,1.2.1.0.0,Alagamento,,1.2.3.0.0,,,,,,,,,,"Ocupação urbana em ilha fluvial do Delta do Jacuí, às margens do Rio Jacuí e ao lado da rodovia BR-116/290 (Figuras 1, 2 e 3), atingida por eventos de inundação lenta e gradual, que ocorre no mínimo uma vez ao ano, tendo sido registrada lâmina d","Ocupação irregular, desordenada, alta vulnerabilidade social. Infraestrutura precária.",Alto,Muito alto,89.0,47.0,356.0,"1) Continuidade nos estudos hidrológicos para avaliar padrão de recorrências de inundações;
2) Atualização constante do cadastro das áreas de risco e do Plano Municipal de Contingência, acionando quando necessário;
3) Implantação de sistema d",Serviço Geológico do Brasil,2.32174677793e-06,0.0100218228307
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_039_CPRM,2022-07-12,"Rua do Pescador, Ilha das Flores (Sul), Bairro Arquipélago",Inundação,,1.2.1.0.0,Alagamento,,1.2.3.0.0,,,,,,,,,,"Densa ocupação urbana em ilha fluvial do Delta do Jacuí, às margens do Rio Jacuí e ao lado da rodovia BR-116/290  (Figuras 1 e 2), atingida por eventos de inundação lenta e gradual, de forma recorrente, especialmente nas residências do setor mais","Ocupação desordenada, com alta vulnerabilidade. Infraestrutura precária.",Alto,Alto,474.0,432.0,1896.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações;
2) Atualização constante do cadastro de áreas de risco e do Plano Municipal de Contingência, acionando quand",Serviço Geológico do Brasil,1.62881070762e-05,0.0551406296365
0.0,RS,PORTO ALEGRE,4314902,RS_PORTOAL_SR_077_CPRM,2022-03-25,"Rua Sezefredo Inácio de Oliveira e Rua Leopoldino José Santos, Bairro Passo das Pedras",Inundação,,1.2.1.0.0,Enxurrada,,1.2.2.0.0,Erosão,Erosão de margem fluvial,1.1.4.2.0,,,,,,,"Ocupação residencial nas margens do arroio Passo das Pedras/arroio Sarandi afluente da bacia hidrográfica do rio Gravataí. Alguns trechos do arroio apresentam muro nas margens (Figura 1), o que provoca aumento de velocidade do fluxo durante eventos p",,Alto,Alto,71.0,48.0,284.0,"1) Dar continuidade a ações relacionadas ao desenvolvimento de estudos hidrológicos para avaliar padrão de recorrências de inundações e orientar melhorias na infraestrutura existente e em futuras intervenções estruturais (ex. pontes, canalizaç",Serviço Geológico do Brasil,2.23849550384e-06,0.0138587585367
