uf;geometria;municipio;processo;classe;execucao;projeto;ano;executor;st_area_sh;st_length_
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,84E+05;0.0217516190595
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,68E+04;0.00334463831524
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+03;0.00110020929884
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,14E+04;0.00160393127363
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,05E+05;0.00428113759396
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,00E+04;0.00206668385763
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116438831204
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,42E+03;0.00116355384244
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,07E+05;0.0266761691256
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,14E+03;0.00170410135378
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,77E+04;0.00209474836847
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;3,83E+04;0.00280662815165
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,40E+06;0.0578431401788
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;3,38E+04;0.00278920705153
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116441524172
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,59E+04;0.00257157604053
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,64E+04;0.00640021864875
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,37E+04;0.00323176713552
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,44E+01;0.00116491618724
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116428204972
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116425680652
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,17E+04;0.00156437719463
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+02;0.00110009888995
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116410218944
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,44E+02;0.00116513706794
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+03;0.00109992593551
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,50E+04;0.00698091231586
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,42E+03;0.001163727239
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116420466712
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116399134119
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,69E+04;0.00178663000607
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;4,25E+03;0.00360586065722
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116394202074
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,98E+04;0.00211731012836
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,40E+02;0.00111374639929
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,93E+05;0.00835922063967
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,05E+04;0.0042855911049
RS;Sim;PORTO ALEGRE;Inundação;Baixa;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+02;0.00116447121264
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,42E+03;0.0011636739118
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,00E+04;0.0037202761226
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116389679589
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,52E+06;0.035367211872
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;1,35E+04;0.00496049383652
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;8,43E+03;0.00116396246493
RS;Sim;PORTO ALEGRE;Inundação;Alta;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;5,78E+02;0.00110013673977
RS;Sim;PORTO ALEGRE;Inundação;Média;CPRM (2014);Cartas de Suscetibilidade a Movimentos Gravitacionais de Massa e Inundações. Tema: Inundação.;2014;CPRM;2,73E+04;0.00315856079774
